name,position,team,opponent_team,was_home,GW,value,minutes,total_points,form_points,form_minutes,form_ict,last_gw_points,season_form_points,opp_goals_conceded_form,opp_goals_scored_form,fixture_difficulty
Aaron Cresswell,DEF,West Ham,10,True,27,58,90,12,6.0,90.0,4.875,1.0,4.653846153846154,1.5,1.0,3
Aaron Cresswell,DEF,West Ham,13,False,28,58,90,2,6.75,90.0,5.5,12.0,4.925925925925926,0.5,1.5,4
Aaron Cresswell,DEF,West Ham,1,True,29,59,90,0,4.25,90.0,4.45,2.0,4.821428571428571,1.0,1.5,3
Aaron Cresswell,DEF,West Ham,20,False,30,59,90,1,3.75,90.0,3.9499999999999997,0.0,4.655172413793103,0.5,0.5,3
Aaron Cresswell,DEF,West Ham,9,True,31,59,52,0,3.75,90.0,3.525,1.0,4.533333333333333,1.5,2.0,4
Aaron Cresswell,DEF,West Ham,14,False,32,58,0,0,0.75,80.5,1.65,0.0,4.387096774193548,1.75,1.25,2
Aaron Cresswell,DEF,West Ham,5,True,33,57,0,0,0.25,58.0,1.1749999999999998,0.0,4.25,1.5,1.5,4
Aaron Cresswell,DEF,West Ham,4,False,34,56,90,2,0.25,35.5,0.6,0.0,4.121212121212121,2.0,2.0,2
Aaron Cresswell,DEF,West Ham,7,True,35,56,58,1,0.5,35.5,2.5999999999999996,2.0,4.0588235294117645,1.0,1.0,4
Aaron Cresswell,DEF,West Ham,3,False,36,56,90,3,0.75,37.0,3.0999999999999996,1.0,3.9714285714285715,0.75,0.75,3
Aaron Cresswell,DEF,West Ham,18,False,37,56,90,5,1.5,59.5,5.075,3.0,3.9444444444444446,2.0,1.25,2
Aaron Cresswell,DEF,West Ham,16,True,38,57,90,6,2.75,82.0,6.875,5.0,3.972972972972973,1.5,1.0,2
Aaron Mooy,MID,Brighton,5,True,1,50,0,0,,,,,,,,4
Aaron Mooy,MID,Brighton,14,False,2,50,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
Aaron Mooy,MID,Brighton,13,True,3,50,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4
Aaron Mooy,MID,Brighton,7,False,4,50,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.6666666666666665,3
Aaron Mooy,MID,Brighton,6,False,5,50,0,0,0.0,0.0,0.0,0.0,0.0,1.75,1.25,3
Aaron Mooy,MID,Brighton,18,True,6,50,0,0,0.0,0.0,0.0,0.0,0.0,2.5,1.25,2
Aaron Mooy,MID,Brighton,17,False,7,50,0,0,0.0,0.0,0.0,0.0,0.0,1.25,2.75,4
Aaron Mooy,MID,Brighton,4,True,8,50,0,0,0.0,0.0,0.0,0.0,0.0,1.75,0.25,2
Aaron Mooy,MID,Brighton,2,False,9,50,0,0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,3
Aaron Mooy,MID,Brighton,11,True,10,50,0,0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,4
Aaron Mooy,MID,Brighton,16,True,11,50,0,0,0.0,0.0,0.0,0.0,0.0,1.75,2.25,2
Aaron Mooy,MID,Brighton,9,False,12,50,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,4
Aaron Mooy,MID,Brighton,8,False,13,50,0,0,0.0,0.0,0.0,0.0,0.0,1.75,1.25,2
Aaron Mooy,MID,Brighton,15,True,14,50,0,0,0.0,0.0,0.0,0.0,0.0,2.25,0.75,2
Aaron Mooy,MID,Brighton,19,False,15,50,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4
Aaron Mooy,MID,Brighton,1,True,16,50,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,3
Aaron Mooy,MID,Brighton,20,True,17,50,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,2
Aaron Mooy,MID,Brighton,12,False,18,50,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1.75,5
Aaron Mooy,MID,Brighton,10,False,19,50,0,0,0.0,0.0,0.0,0.0,0.0,2.25,2.0,3
Aaron Mooy,MID,Brighton,8,True,20,50,0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,2
Aaron Mooy,MID,Brighton,17,True,21,50,0,0,0.0,0.0,0.0,0.0,0.0,1.25,2.0,3
Aaron Mooy,MID,Brighton,11,False,22,50,0,0,0.0,0.0,0.0,0.0,0.0,0.75,1.5,3
Aaron Mooy,MID,Brighton,4,False,23,50,0,0,0.0,0.0,0.0,0.0,0.0,1.75,0.75,2
Aaron Mooy,MID,Brighton,2,True,24,50,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.25,2
Aaron Mooy,MID,Brighton,6,True,25,50,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.75,2
Aaron Mooy,MID,Brighton,18,False,26,50,0,0,0.0,0.0,0.0,0.0,0.0,1.25,0.5,2
Aaron Mooy,MID,Brighton,9,True,27,50,0,0,0.0,0.0,0.0,0.0,0.0,1.25,1.5,4
Aaron Mooy,MID,Brighton,16,False,28,50,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
Aaron Mooy,MID,Brighton,14,True,29,50,0,0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,2
Aaron Mooy,MID,Brighton,13,False,30,50,0,0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,4
Aaron Mooy,MID,Brighton,7,True,31,50,0,0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,4
Aaron Mooy,MID,Brighton,5,False,32,50,0,0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,4
Aaron Mooy,MID,Brighton,15,False,33,50,0,0,0.0,0.0,0.0,0.0,0.0,2.75,0.25,2
Aaron Mooy,MID,Brighton,10,True,34,50,0,0,0.0,0.0,0.0,0.0,0.0,0.75,1.25,3
Aaron Mooy,MID,Brighton,20,False,35,50,0,0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,3
Aaron Mooy,MID,Brighton,19,True,36,50,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,4
Aaron Mooy,MID,Brighton,12,True,37,50,0,0,0.0,0.0,0.0,0.0,0.0,1.5,2.25,4
Aaron Mooy,MID,Brighton,1,False,38,50,0,0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,4
Aaron Ramsdale,GK,Sheffield Utd,20,True,1,50,90,1,,,,,,,,2
Aaron Ramsdale,GK,Sheffield Utd,2,False,2,50,90,2,1.0,90.0,1.8,1.0,1.0,,,3
Aaron Ramsdale,GK,Sheffield Utd,10,True,3,50,90,4,1.5,90.0,1.4500000000000002,2.0,1.5,3.5,3.5,3
Aaron Ramsdale,GK,Sheffield Utd,1,False,4,50,90,2,2.3333333333333335,90.0,2.7000000000000006,4.0,2.3333333333333335,1.3333333333333333,2.0,4
Aaron Ramsdale,GK,Sheffield Utd,8,True,5,50,90,3,2.25,90.0,2.5500000000000003,2.0,2.25,2.75,0.75,2
Aaron Ramsdale,GK,Sheffield Utd,11,False,6,49,90,2,2.75,90.0,2.8,3.0,2.4,2.5,2.25,3
Aaron Ramsdale,GK,Sheffield Utd,12,True,7,49,90,4,2.75,90.0,3.075,2.0,2.3333333333333335,1.75,1.25,4
Aaron Ramsdale,GK,Sheffield Utd,5,False,8,49,90,2,2.75,90.0,2.875,4.0,2.5714285714285716,0.75,2.5,4
Aaron Ramsdale,GK,Sheffield Utd,19,True,9,48,90,2,2.75,90.0,3.1250000000000004,2.0,2.5,1.5,1.5,4
Aaron Ramsdale,GK,Sheffield Utd,18,False,10,48,90,3,2.5,90.0,2.875,2.0,2.4444444444444446,1.25,0.25,2
Aaron Ramsdale,GK,Sheffield Utd,9,True,11,48,90,1,2.75,90.0,3.2,3.0,2.5,1.5,1.5,4
Aaron Ramsdale,GK,Sheffield Utd,16,False,12,48,90,2,2.0,90.0,2.575,1.0,2.3636363636363638,1.25,1.75,2
Aaron Ramsdale,GK,Sheffield Utd,13,True,13,47,90,2,2.0,90.0,2.4250000000000003,2.0,2.3333333333333335,0.75,1.75,4
Aaron Ramsdale,GK,Sheffield Utd,3,False,14,47,90,2,2.0,90.0,2.6500000000000004,2.0,2.3076923076923075,1.5,0.5,3
